"lake.name","Year","avg","stdev"
"Big Moose",1994,0.636666666666667,0.414769012021551
"Big Moose",1995,1.02666666666667,0.907542469162371
"Big Moose",1996,0.456666666666667,0.0907377172587747
"Big Moose",1997,0.27,0.0282842712474619
"Big Moose",1998,0.215,0.00707106781186548
"Big Moose",1999,0.485,0.445477272147525
"Big Moose",2000,0.47,0.0424264068711929
"Big Moose",2001,0.6,0
"Big Moose",2002,0.17,0.0282842712474619
"Big Moose",2003,0.45,0.0424264068711929
"Big Moose",2004,0.255,0.0494974746830583
"Big Moose",2005,0.16,0
"Big Moose",2006,0.3,0.0424264068711929
"Big Moose",2007,0.2,0.226274169979695
"Big Moose",2008,0.085,0.0494974746830583
"Big Moose",2010,0.065,0.0494974746830583
"Big Moose",2011,0.15,0.0848528137423857
"Big Moose",2012,0.19,0.0989949493661167
"Brooktrout",1994,0.163333333333333,0.119303534454489
"Brooktrout",1995,0.0133333333333333,0.0152752523165195
"Brooktrout",1996,0.105,0.134350288425444
"Brooktrout",1997,0.075,0.0212132034355964
"Brooktrout",1998,0.135,0.0494974746830583
"Brooktrout",1999,0.025,0.00707106781186547
"Brooktrout",2000,0.03,0.014142135623731
"Brooktrout",2001,0.11,0.0141421356237309
"Brooktrout",2002,0.155,0.21920310216783
"Brooktrout",2003,0.005,0.00707106781186548
"Brooktrout",2004,0.065,0.00707106781186548
"Brooktrout",2005,0.02,0.014142135623731
"Brooktrout",2006,0.015,0.00707106781186548
"Brooktrout",2007,0.01,0
"Brooktrout",2008,0,0
"Brooktrout",2010,0.02,0.014142135623731
"Brooktrout",2011,0.225,0.0494974746830583
"Brooktrout",2012,0.705,0.0494974746830583
"Carry",1994,0.696666666666667,0.305341339050796
"Carry",1995,5.81,3.024020502576
"Carry",1996,0.94,0.338082830087539
"Carry",1997,1.41,0.0848528137423856
"Carry",1998,0.755,0.0777817459305203
"Carry",1999,3.305,0.403050865276332
"Carry",2000,3.005,0.106066017177982
"Carry",2001,0.795,0.318198051533946
"Carry",2002,0.91,0.0989949493661167
"Carry",2003,2.795,2.87792459942925
"Carry",2004,2.945,2.15667568261897
"Carry",2005,2.575,0.445477272147525
"Carry",2006,2.12,0.45254833995939
"Cascade",1994,1.54666666666667,0.739211291400052
"Cascade",1995,1.08,0.0360555127546399
"Cascade",1996,1.03,0.249799919935936
"Cascade",1997,0.37,0.0848528137423857
"Cascade",1998,0.395,0.148492424049175
"Cascade",1999,0.59,0.45254833995939
"Cascade",2000,1.445,0.318198051533946
"Cascade",2001,0.735,0.487903679018718
"Cascade",2002,2.025,1.09601551083915
"Cascade",2003,0.925,0.275771644662754
"Cascade",2004,0.585,0.00707106781186548
"Cascade",2005,1.045,0.53033008588991
"Cascade",2006,2.24,1.40007142674936
"Cascade",2007,0.715,0.657609306503489
"Cascade",2008,1.12,0.367695526217005
"Cascade",2010,0.3,0.0282842712474619
"Cascade",2011,0.355,0.120208152801713
"Cascade",2012,0.19,0.254558441227157
"Constable",1994,0.646666666666667,0.0493288286231625
"Constable",1995,0.686666666666667,0.335608899365516
"Constable",1996,0.476666666666667,0.17156145643277
"Constable",1997,0.55,0.127279220613579
"Constable",1998,0.29,0.0424264068711929
"Constable",1999,0.89,0.141421356237309
"Constable",2000,0.915,0.0353553390593273
"Constable",2001,0.72,0
"Constable",2002,0.435,0.332340187157677
"Constable",2003,0.415,0.304055915910215
"Constable",2004,0.525,0.318198051533946
"Constable",2005,0.29,0.183847763108502
"Constable",2006,1.28,0.197989898732233
"Dart",1994,0.396666666666667,0.0737111479583199
"Dart",1995,0.29,0.101488915650922
"Dart",1996,0.206666666666667,0.0981495457622364
"Dart",1997,0.66,0.0565685424949238
"Dart",1998,0.14,0.0141421356237309
"Dart",1999,0.77,0.523259018078045
"Dart",2000,0.195,0.00707106781186548
"Dart",2001,0.19,0.0282842712474619
"Dart",2002,0.225,0.0212132034355964
"Dart",2003,0.3,0.0424264068711929
"Dart",2004,0.235,0.0777817459305202
"Dart",2005,0.215,0.00707106781186548
"Dart",2006,0.11,0.0989949493661166
"Dart",2007,0.195,0.0919238815542512
"Dart",2008,0.15,0.127279220613579
"Dart",2010,0.055,0.0494974746830583
"Dart",2011,0.15,0.0282842712474619
"Dart",2012,0.14,0.14142135623731
"G",1994,0.656666666666667,0.587310253046321
"G",1995,0.326666666666667,0.353600527903075
"G",1996,0.24,NA
"G",1997,0.57,0.0141421356237309
"G",1998,0.48,0.014142135623731
"G",1999,1.21,0.141421356237309
"G",2000,1.49,0.777817459305202
"G",2001,0.5,0.29698484809835
"G",2002,0.185,0.0919238815542512
"G",2003,0.54,0.410121933088197
"G",2004,0.69,0.183847763108502
"G",2005,1.135,0.332340187157677
"G",2006,0.64,0.551543289325507
"G",2007,0.485,0.106066017177982
"G",2008,0.59,NA
"G",2010,0.3,0.113137084989848
"G",2011,0.73,0.43840620433566
"G",2012,0.415,0.176776695296637
"Grass",1994,0.886666666666667,0.514328040586291
"Grass",1995,1.15666666666667,0.500233278914281
"Grass",1996,1.20666666666667,0.349332697200439
"Grass",1997,1.075,0.176776695296637
"Grass",1998,0.77,0.014142135623731
"Grass",1999,1.43,0.254558441227157
"Grass",2000,1.145,0.190918830920368
"Grass",2001,0.83,0.282842712474619
"Grass",2002,0.715,0.332340187157677
"Grass",2003,1.075,0.148492424049175
"Grass",2004,1.245,0.601040764008565
"Grass",2005,1.075,0.0494974746830584
"Grass",2006,0.975,0.0636396103067893
"Indian",1994,0.78,0.1113552872566
"Indian",1995,1.29666666666667,0.506491197685935
"Indian",1996,0.893333333333333,0.168027775481714
"Indian",1997,1.07,0.0282842712474619
"Indian",1998,0.28,0.127279220613579
"Indian",1999,1.38,0.381837661840736
"Indian",2000,0.805,0.487903679018718
"Indian",2001,0.79,0.0989949493661167
"Indian",2002,0.525,0.134350288425444
"Indian",2003,0.965,0.21920310216783
"Indian",2004,0.65,0.0707106781186547
"Indian",2005,0.54,0.226274169979695
"Indian",2006,0.64,0.113137084989848
"Indian",2007,0.5,0.226274169979695
"Indian",2008,0.355,0.0494974746830583
"Indian",2010,1.58,1.47078210486802
"Indian",2011,0.91,0.268700576850888
"Indian",2012,1.34,0.113137084989848
"Jockeybush",1994,0.82,0.260576284415908
"Jockeybush",1995,0.503333333333333,0.344286702231343
"Jockeybush",1996,0.73,0.09
"Jockeybush",1997,0.505,0.0494974746830584
"Jockeybush",1998,0.475,0.0777817459305203
"Jockeybush",1999,1.015,0.148492424049175
"Jockeybush",2000,1.415,0.00707106781186548
"Jockeybush",2001,0.56,0.197989898732233
"Jockeybush",2002,0.605,0.0212132034355964
"Jockeybush",2003,1.075,0.332340187157677
"Jockeybush",2004,0.375,0.0636396103067893
"Jockeybush",2005,0.72,NA
"Jockeybush",2006,0.495,0.0777817459305203
"Jockeybush",2007,0.42,0.15556349186104
"Jockeybush",2008,0.93,NA
"Jockeybush",2010,0.3,NA
"Jockeybush",2011,0.745,0.261629509039023
"Jockeybush",2012,0.345,0.247487373415292
"Limekiln",1994,1.03666666666667,0.0351188458428425
"Limekiln",1995,0.916666666666667,0.235442845152137
"Limekiln",1996,0.43,0.062449979983984
"Limekiln",1997,0.585,0.0353553390593273
"Limekiln",1998,0.79,0.0565685424949238
"Limekiln",1999,0.465,0.176776695296637
"Limekiln",2000,0.99,0.834386001800126
"Limekiln",2001,0.27,0.197989898732233
"Limekiln",2002,0.155,0.0212132034355964
"Limekiln",2003,0.38,0.183847763108502
"Limekiln",2004,0.8,0.0848528137423857
"Limekiln",2005,0.275,0.0494974746830583
"Limekiln",2006,0.31,0.183847763108502
"Limekiln",2007,0.205,0.00707106781186546
"Limekiln",2008,0.38,0.0989949493661167
"Limekiln",2010,0.125,0.00707106781186548
"Limekiln",2011,0.17,0.0848528137423857
"Limekiln",2012,0.265,0.0212132034355964
"Long",1994,0.386666666666667,0.478156180900481
"Long",1995,1.56333333333333,0.403773864103824
"Long",1996,0.12,0.0793725393319377
"Long",1997,1.98,2.7435743110038
"Long",1998,0.18,0.197989898732233
"Long",1999,0.33,0.113137084989848
"Long",2000,0.565,0.346482322781408
"Long",2001,0.485,0.586898628384834
"Long",2002,1.015,0.742462120245875
"Long",2003,0.13,0.0282842712474619
"Long",2004,0.185,0.00707106781186548
"Long",2005,0.06,0.0565685424949238
"Long",2006,0.055,0.0212132034355964
"Loon Hollow",1994,0.07,0.07
"Loon Hollow",1995,0.0966666666666667,0.0960902353693305
"Loon Hollow",1996,0.163333333333333,0.188237438713273
"Loon Hollow",1997,0.22,0.0282842712474619
"Loon Hollow",1998,0.035,0.00707106781186548
"Loon Hollow",1999,0.205,0.0494974746830583
"Loon Hollow",2000,0.09,0.0565685424949238
"Loon Hollow",2001,0.115,0.0919238815542512
"Loon Hollow",2002,0.06,0.0565685424949238
"Loon Hollow",2003,0.025,0.00707106781186547
"Loon Hollow",2004,0.035,0.0212132034355964
"Loon Hollow",2005,0.03,0.014142135623731
"Loon Hollow",2006,0.01,0
"Middle Branch",1994,0.7,0.121243556529821
"Middle Branch",1995,1.46666666666667,1.02246434330657
"Middle Branch",1996,1.17666666666667,0.33501243758006
"Middle Branch",1997,0.73,0.0848528137423857
"Middle Branch",1998,0.24,0.0141421356237309
"Middle Branch",1999,0.745,0.459619407771256
"Middle Branch",2000,1.37,0.0707106781186547
"Middle Branch",2001,1.19,1.17379725676967
"Middle Branch",2002,0.4,0.212132034355964
"Middle Branch",2003,0.53,0.014142135623731
"Middle Branch",2004,0.645,0.0636396103067893
"Middle Branch",2005,0.36,0.0989949493661167
"Middle Branch",2006,0.89,0.0848528137423857
"Middle Settlement",1994,1.22666666666667,0.440037877157562
"Middle Settlement",1995,1.6,0.820243866176395
"Middle Settlement",1996,1.18333333333333,0.198578280114753
"Middle Settlement",1997,0.665,0.106066017177982
"Middle Settlement",1998,0.535,0.148492424049175
"Middle Settlement",1999,1.51,0.622253967444162
"Middle Settlement",2000,0.87,0.282842712474619
"Middle Settlement",2001,0.945,0.176776695296637
"Middle Settlement",2002,0.745,0.247487373415292
"Middle Settlement",2003,1.49,NA
"Middle Settlement",2004,1.015,0.0212132034355964
"Middle Settlement",2005,1.58,0.579827560572969
"Middle Settlement",2006,0.955,0.0777817459305202
"Middle Settlement",2007,2.11,0.29698484809835
"Middle Settlement",2008,0.965,0.37476659402887
"Moss",1994,0.196666666666667,0.0642910050732864
"Moss",1995,0.256666666666667,0.245017006212494
"Moss",1996,0.233333333333333,0.0750555349946514
"Moss",1997,0.3,0.014142135623731
"Moss",1998,0.32,0.113137084989848
"Moss",1999,0.425,0.0353553390593274
"Moss",2000,0.21,0.14142135623731
"Moss",2001,0.395,0.0353553390593274
"Moss",2002,0.125,0.00707106781186548
"Moss",2003,0.355,0.487903679018718
"Moss",2004,0.23,0
"Moss",2005,0.255,0.0494974746830583
"Moss",2006,0.27,NA
"Moss",2007,0.355,0.0494974746830583
"Moss",2008,0.16,0.0565685424949238
"Moss",2010,0.115,0.0212132034355964
"Moss",2011,0.115,0.00707106781186547
"Moss",2012,0.115,0.0777817459305202
"North",1994,0.243333333333333,0.132035348802256
"North",1995,0.313333333333333,0.130511813003013
"North",1996,0.18,0.0346410161513775
"North",1997,0.14,0.0424264068711929
"North",1998,0.34,0.0848528137423857
"North",1999,0.2,0.0707106781186548
"North",2000,0.38,0.0848528137423857
"North",2001,0.21,0.14142135623731
"North",2002,0.24,0.0989949493661166
"North",2003,0.325,0.205060966544099
"North",2004,0.325,0.176776695296637
"North",2005,0.13,0.014142135623731
"North",2006,0.26,0.0565685424949238
"North",2007,0.11,0.0141421356237309
"North",2008,0.315,0.0353553390593274
"North",2010,0.15,0.14142135623731
"North",2011,0.125,0.134350288425444
"North",2012,0.14,0.0565685424949238
"Queer",1994,0.77,0.0264575131106459
"Queer",1995,0.66,0.248797106092495
"Queer",1996,0.443333333333333,0.209841209807162
"Queer",1997,0.365,0.0353553390593274
"Queer",1998,0.415,0.190918830920368
"Queer",1999,0.46,0.0848528137423857
"Queer",2000,0.365,0.0777817459305202
"Queer",2001,0.36,0.0848528137423857
"Queer",2002,0.325,0.0494974746830583
"Queer",2003,0.43,0.254558441227157
"Queer",2004,1.385,1.23743686707646
"Queer",2005,0.22,0.169705627484771
"Queer",2006,0.405,0.205060966544099
"Raquette",1994,0.21,0.104403065089106
"Raquette",1995,0.436666666666667,0.445570794973519
"Raquette",1996,0.75,1.12587743560301
"Raquette",1998,0.225,0.289913780286484
"Raquette",1999,0.495,0.275771644662754
"Raquette",2000,0.2,0.113137084989848
"Raquette",2001,1.085,1.19501046020527
"Raquette",2002,0.555,0.346482322781408
"Raquette",2003,0.435,0.289913780286484
"Raquette",2004,0.565,0.572756492761103
"Raquette",2005,0.535,0.0353553390593274
"Raquette",2006,0.2,0.240416305603426
"Rondaxe",1994,0.246666666666667,0.0757187779440037
"Rondaxe",1995,0.4,0.424264068711929
"Rondaxe",1996,0.486666666666667,0.384230833397495
"Rondaxe",1997,0.365,0.162634559672906
"Rondaxe",1998,0.18,0.0707106781186548
"Rondaxe",1999,0.27,0.0424264068711929
"Rondaxe",2000,0.32,0.0282842712474619
"Rondaxe",2001,0.13,0.014142135623731
"Rondaxe",2002,0.165,0.0777817459305202
"Rondaxe",2003,0.24,0.183847763108502
"Rondaxe",2004,0.25,0.282842712474619
"Rondaxe",2005,0.05,0.0282842712474619
"Rondaxe",2006,0.125,0.0494974746830583
"Rondaxe",2007,0.23,0.0989949493661166
"Rondaxe",2008,0.115,0.0919238815542512
"Rondaxe",2010,0.125,0.0636396103067893
"Rondaxe",2011,0.205,0.0636396103067893
"Rondaxe",2012,0.345,0.0919238815542511
"Sagamore",1994,0.336666666666667,0.259679289380831
"Sagamore",1995,0.17,0.104403065089105
"Sagamore",1996,0.27,0.200748598998847
"Sagamore",1997,0.14,0.15556349186104
"Sagamore",1998,0.19,0.0848528137423857
"Sagamore",1999,0.215,0.0636396103067893
"Sagamore",2000,0.26,0.0848528137423857
"Sagamore",2001,0.175,0.0636396103067893
"Sagamore",2002,0.17,0.169705627484771
"Sagamore",2003,0.455,0.233345237791561
"Sagamore",2004,0.43,0.183847763108502
"Sagamore",2005,0.32,0.0707106781186547
"Sagamore",2006,0.255,0.0636396103067893
"Sagamore",2007,0.195,0.0494974746830583
"Sagamore",2008,0.13,NA
"Sagamore",2010,0.28,0.0424264068711929
"Sagamore",2011,0.15,0.0282842712474619
"Sagamore",2012,0.12,0.0848528137423857
"South",1994,0.79,0.06557438524302
"South",1995,1.13333333333333,0.733848304033833
"South",1996,0.89,0.30199337741083
"South",1997,0.51,0.197989898732233
"South",1998,0.365,0.205060966544099
"South",1999,1.075,0.275771644662754
"South",2000,0.955,0.417193000900063
"South",2001,0.43,0.014142135623731
"South",2002,0.225,0.00707106781186548
"South",2003,0.42,0.0424264068711929
"South",2004,0.995,0.615182899632296
"South",2005,0.365,0.0353553390593274
"South",2006,0.41,0.183847763108502
"South",2007,0.31,0.14142135623731
"South",2008,0.535,0.0353553390593274
"South",2010,0.195,0.00707106781186548
"South",2011,0.24,0.14142135623731
"South",2012,0.38,0.212132034355964
"Squash",1994,1.13333333333333,0.902570403532784
"Squash",1995,1.05,0.721872564930958
"Squash",1996,0.55,0.202237484161567
"Squash",1997,0.97,0.0424264068711929
"Squash",1998,0.515,0.233345237791561
"Squash",1999,0.68,0.14142135623731
"Squash",2000,1.005,0.388908729652601
"Squash",2001,0.58,0.0848528137423857
"Squash",2002,0.185,0.0353553390593274
"Squash",2003,1.235,0.0919238815542513
"Squash",2004,0.775,0.37476659402887
"Squash",2005,0.66,0.127279220613579
"Squash",2006,0.58,0.212132034355964
"Squaw",1994,1.62333333333333,0.464363363470174
"Squaw",1995,1.9,0.594053869611166
"Squaw",1996,1.37666666666667,0.495412286215565
"Squaw",1997,1.445,0.417193000900063
"Squaw",1998,0.365,0.205060966544099
"Squaw",1999,1.055,0.37476659402887
"Squaw",2000,0.49,0.339411254969543
"Squaw",2001,0.51,0.014142135623731
"Squaw",2002,0.495,0.0777817459305203
"Squaw",2003,1.26,0.282842712474619
"Squaw",2004,0.72,0.395979797464467
"Squaw",2005,0.67,0.169705627484771
"Squaw",2006,0.965,0.190918830920368
"Squaw",2007,1.33,0.367695526217005
"Squaw",2008,1.205,0.0494974746830584
"Squaw",2010,0.375,0.289913780286484
"Squaw",2011,1.46,0.494974746830583
"Squaw",2012,1.1,0.0424264068711927
"West",1994,1.02333333333333,0.635793467513888
"West",1995,1.92333333333333,0.779829041093837
"West",1996,1.28333333333333,0.571343446040412
"West",1997,1.49,0.226274169979695
"West",1998,0.65,0.014142135623731
"West",1999,2.955,2.45366053071732
"West",2000,2.86,1.10308657865101
"West",2001,0.825,0.742462120245875
"West",2002,0.32,0.0707106781186547
"West",2003,0.955,0.134350288425444
"West",2004,0.98,0.014142135623731
"West",2005,1.26,0.452548339959391
"West",2006,1.175,0.51618795026618
"Willis",1994,0.706666666666667,1.19801224256405
"Willis",1995,0.74,0.791959594928933
"Willis",1996,1.08666666666667,0.616549538426016
"Willis",1997,0.21,0.29698484809835
"Willis",1998,0.23,0.0141421356237309
"Willis",1999,1.365,1.91625937701554
"Willis",2000,0.25,0.0282842712474619
"Willis",2001,0.44,0.523259018078045
"Willis",2002,0.465,0.304055915910215
"Willis",2003,0.02,NA
"Willis",2004,0.745,0.00707106781186548
"Willis",2005,0.475,0.106066017177982
"Willis",2006,0.875,0.134350288425444
"Willys",1994,0.29,0.312409987036266
"Willys",1995,0.173333333333333,0.161658075373095
"Willys",1996,0.266666666666667,0.178978583448784
"Willys",1997,0.08,NA
"Willys",1998,0.165,0.148492424049175
"Willys",1999,0.25,0.0565685424949238
"Willys",2000,0.49,0.579827560572969
"Willys",2001,0.155,0.176776695296637
"Willys",2002,0.03,0
"Willys",2003,0.11,0.0848528137423857
"Willys",2004,0.305,0.0636396103067893
"Willys",2005,0.33,0.339411254969543
"Willys",2006,0.08,0.0565685424949238
"Windfall",1994,1.12666666666667,0.0208166599946612
"Windfall",1995,1.37333333333333,0.898127682088317
"Windfall",1996,0.59,0.134536240470737
"Windfall",1997,0.475,0.134350288425444
"Windfall",1998,0.4,0.0282842712474619
"Windfall",1999,1.275,0.120208152801713
"Windfall",2000,0.845,0.247487373415292
"Windfall",2001,0.305,0.0636396103067893
"Windfall",2002,0.39,0.0424264068711929
"Windfall",2003,0.435,0.289913780286484
"Windfall",2004,0.09,0.014142135623731
"Windfall",2005,0.275,0.120208152801713
"Windfall",2006,1.225,1.01116269709676
